Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
180.0,2018-02-09,put,AAPL180209P00180000,5.8,5.55,5.85,0.17000008,3.0195394,83.0,324.0,0.3013985876464844,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:04:33,"{'contractSymbol': 'AAPL180209P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 5.8, 'change': 0.17000008, 'percentChange': 3.0195394, 'volume': 83, 'openInterest': 324, 'bid': 5.55, 'ask': 5.85, 'contractSize': 'REGULAR', 'expiration': 1518134400, 'lastTradeDate': 1516392273, 'impliedVolatility': 0.3013985876464844, 'inTheMoney': True}"
180.0,2018-02-16,call,AAPL180216C00180000,4.25,4.2,4.4,-0.6999998,-14.141411,16071.0,60867.0,0.2639844110107422,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:59,"{'contractSymbol': 'AAPL180216C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 4.25, 'change': -0.6999998, 'percentChange': -14.141411, 'volume': 16071, 'openInterest': 60867, 'bid': 4.2, 'ask': 4.4, 'contractSize': 'REGULAR', 'expiration': 1518739200, 'lastTradeDate': 1516395599, 'impliedVolatility': 0.2639844110107422, 'inTheMoney': False}"
180.0,2018-02-16,put,AAPL180216P00180000,6.16,5.9,6.1,0.25999975,4.4067755,2616.0,26826.0,0.27234614379882804,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:54:23,"{'contractSymbol': 'AAPL180216P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 6.16, 'change': 0.25999975, 'percentChange': 4.4067755, 'volume': 2616, 'openInterest': 26826, 'bid': 5.9, 'ask': 6.1, 'contractSize': 'REGULAR', 'expiration': 1518739200, 'lastTradeDate': 1516395263, 'impliedVolatility': 0.27234614379882804, 'inTheMoney': True}"
180.0,2018-02-23,call,AAPL180223C00180000,4.6,4.45,4.6,-0.6500001,-12.380954,527.0,1325.0,0.24451439086914065,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:54,"{'contractSymbol': 'AAPL180223C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 4.6, 'change': -0.6500001, 'percentChange': -12.380954, 'volume': 527, 'openInterest': 1325, 'bid': 4.45, 'ask': 4.6, 'contractSize': 'REGULAR', 'expiration': 1519344000, 'lastTradeDate': 1516395594, 'impliedVolatility': 0.24451439086914065, 'inTheMoney': False}"
180.0,2018-02-23,put,AAPL180223P00180000,6.45,6.15,6.6,0.14999962,2.3809462,128.0,200.0,0.2657544128417969,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:36:12,"{'contractSymbol': 'AAPL180223P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 6.45, 'change': 0.14999962, 'percentChange': 2.3809462, 'volume': 128, 'openInterest': 200, 'bid': 6.15, 'ask': 6.6, 'contractSize': 'REGULAR', 'expiration': 1519344000, 'lastTradeDate': 1516394172, 'impliedVolatility': 0.2657544128417969, 'inTheMoney': True}"
180.0,2018-03-02,call,AAPL180302C00180000,4.93,4.85,5.05,-0.7000003,-12.433397,705.0,1730.0,0.2415236981201172,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:33,"{'contractSymbol': 'AAPL180302C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 4.93, 'change': -0.7000003, 'percentChange': -12.433397, 'volume': 705, 'openInterest': 1730, 'bid': 4.85, 'ask': 5.05, 'contractSize': 'REGULAR', 'expiration': 1519948800, 'lastTradeDate': 1516395573, 'impliedVolatility': 0.2415236981201172, 'inTheMoney': False}"
180.0,2018-03-02,put,AAPL180302P00180000,6.79,6.55,6.9,0.6199999,10.04862,87.0,306.0,0.2546461254882813,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:29,"{'contractSymbol': 'AAPL180302P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 6.79, 'change': 0.6199999, 'percentChange': 10.04862, 'volume': 87, 'openInterest': 306, 'bid': 6.55, 'ask': 6.9, 'contractSize': 'REGULAR', 'expiration': 1519948800, 'lastTradeDate': 1516395569, 'impliedVolatility': 0.2546461254882813, 'inTheMoney': True}"
180.0,2018-04-20,call,AAPL180420C00180000,7.42,7.4,7.45,-0.6800003,-8.395065,3562.0,21661.0,0.2309647216796875,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:57,"{'contractSymbol': 'AAPL180420C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 7.42, 'change': -0.6800003, 'percentChange': -8.395065, 'volume': 3562, 'openInterest': 21661, 'bid': 7.4, 'ask': 7.45, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1516395597, 'impliedVolatility': 0.2309647216796875, 'inTheMoney': False}"
180.0,2018-04-20,put,AAPL180420P00180000,8.85,8.55,8.95,0.45000076,5.357152,373.0,2637.0,0.22992713439941403,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:49:02,"{'contractSymbol': 'AAPL180420P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 8.85, 'change': 0.45000076, 'percentChange': 5.357152, 'volume': 373, 'openInterest': 2637, 'bid': 8.55, 'ask': 8.95, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1516394942, 'impliedVolatility': 0.22992713439941403, 'inTheMoney': True}"
180.0,2018-06-15,call,AAPL180615C00180000,9.95,9.95,10.05,-0.6999998,-6.572768,3140.0,11010.0,0.23902128173828124,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:57:14,"{'contractSymbol': 'AAPL180615C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 9.95, 'change': -0.6999998, 'percentChange': -6.572768, 'volume': 3140, 'openInterest': 11010, 'bid': 9.95, 'ask': 10.05, 'contractSize': 'REGULAR', 'expiration': 1529020800, 'lastTradeDate': 1516395434, 'impliedVolatility': 0.23902128173828124, 'inTheMoney': False}"
180.0,2018-06-15,put,AAPL180615P00180000,11.35,11.1,11.5,0.64000034,5.975727,160.0,3814.0,0.2371902453613281,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:50:04,"{'contractSymbol': 'AAPL180615P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 11.35, 'change': 0.64000034, 'percentChange': 5.975727, 'volume': 160, 'openInterest': 3814, 'bid': 11.1, 'ask': 11.5, 'contractSize': 'REGULAR', 'expiration': 1529020800, 'lastTradeDate': 1516395004, 'impliedVolatility': 0.2371902453613281, 'inTheMoney': True}"
180.0,2018-07-20,call,AAPL180720C00180000,11.1,11.0,11.4,-0.75,-6.329114,265.0,1450.0,0.24161524993896483,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:53:20,"{'contractSymbol': 'AAPL180720C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 11.1, 'change': -0.75, 'percentChange': -6.329114, 'volume': 265, 'openInterest': 1450, 'bid': 11.0, 'ask': 11.4, 'contractSize': 'REGULAR', 'expiration': 1532044800, 'lastTradeDate': 1516395200, 'impliedVolatility': 0.24161524993896483, 'inTheMoney': False}"
180.0,2018-07-20,put,AAPL180720P00180000,12.16,11.9,12.3,0.28999996,2.4431336,23.0,1326.0,0.22901161621093752,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:05:16,"{'contractSymbol': 'AAPL180720P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 12.16, 'change': 0.28999996, 'percentChange': 2.4431336, 'volume': 23, 'openInterest': 1326, 'bid': 11.9, 'ask': 12.3, 'contractSize': 'REGULAR', 'expiration': 1532044800, 'lastTradeDate': 1516392316, 'impliedVolatility': 0.22901161621093752, 'inTheMoney': True}"
180.0,2018-09-21,call,AAPL180921C00180000,13.41,13.25,13.5,-0.69000053,-4.8936205,4113.0,2973.0,0.24417870086669924,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:31:20,"{'contractSymbol': 'AAPL180921C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 13.41, 'change': -0.69000053, 'percentChange': -4.8936205, 'volume': 4113, 'openInterest': 2973, 'bid': 13.25, 'ask': 13.5, 'contractSize': 'REGULAR', 'expiration': 1537488000, 'lastTradeDate': 1516393880, 'impliedVolatility': 0.24417870086669924, 'inTheMoney': False}"
180.0,2018-09-21,put,AAPL180921P00180000,14.17,13.95,14.3,0.119999886,0.8540917,6.0,1446.0,0.2316666189575195,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:35:33,"{'contractSymbol': 'AAPL180921P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 14.17, 'change': 0.119999886, 'percentChange': 0.8540917, 'volume': 6, 'openInterest': 1446, 'bid': 13.95, 'ask': 14.3, 'contractSize': 'REGULAR', 'expiration': 1537488000, 'lastTradeDate': 1516394133, 'impliedVolatility': 0.2316666189575195, 'inTheMoney': True}"
180.0,2019-01-18,call,AAPL190118C00180000,17.07,17.05,17.2,-0.6800003,-3.8309877,2316.0,15053.0,0.2524183645629883,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:09,"{'contractSymbol': 'AAPL190118C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 17.07, 'change': -0.6800003, 'percentChange': -3.8309877, 'volume': 2316, 'openInterest': 15053, 'bid': 17.05, 'ask': 17.2, 'contractSize': 'REGULAR', 'expiration': 1547769600, 'lastTradeDate': 1516395549, 'impliedVolatility': 0.2524183645629883, 'inTheMoney': False}"
180.0,2019-01-18,put,AAPL190118P00180000,17.0,16.9,17.1,0.10000038,0.59171826,121.0,4929.0,0.229499892578125,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:28:40,"{'contractSymbol': 'AAPL190118P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 17.0, 'change': 0.10000038, 'percentChange': 0.59171826, 'volume': 121, 'openInterest': 4929, 'bid': 16.9, 'ask': 17.1, 'contractSize': 'REGULAR', 'expiration': 1547769600, 'lastTradeDate': 1516393720, 'impliedVolatility': 0.229499892578125, 'inTheMoney': True}"
180.0,2020-01-17,call,AAPL200117C00180000,25.67,25.0,28.0,-1.3500004,-4.9963007,975.0,3974.0,0.28684184844970695,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:58:30,"{'contractSymbol': 'AAPL200117C00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 25.67, 'change': -1.3500004, 'percentChange': -4.9963007, 'volume': 975, 'openInterest': 3974, 'bid': 25.0, 'ask': 28.0, 'contractSize': 'REGULAR', 'expiration': 1579219200, 'lastTradeDate': 1516395510, 'impliedVolatility': 0.28684184844970695, 'inTheMoney': False}"
180.0,2020-01-17,put,AAPL200117P00180000,22.92,22.05,25.45,-0.030000687,-0.13072194,7.0,1344.0,0.24593344406127932,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:36:27,"{'contractSymbol': 'AAPL200117P00180000', 'strike': 180.0, 'currency': 'USD', 'lastPrice': 22.92, 'change': -0.030000687, 'percentChange': -0.13072194, 'volume': 7, 'openInterest': 1344, 'bid': 22.05, 'ask': 25.45, 'contractSize': 'REGULAR', 'expiration': 1579219200, 'lastTradeDate': 1516394187, 'impliedVolatility': 0.24593344406127932, 'inTheMoney': True}"
182.5,2018-01-26,call,AAPL180126C00182500,0.55,0.53,0.55,-0.44,-44.444447,19610.0,24178.0,0.20948056152343747,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:59:40,"{'contractSymbol': 'AAPL180126C00182500', 'strike': 182.5, 'currency': 'USD', 'lastPrice': 0.55, 'change': -0.44, 'percentChange': -44.444447, 'volume': 19610, 'openInterest': 24178, 'bid': 0.53, 'ask': 0.55, 'contractSize': 'REGULAR', 'expiration': 1516924800, 'lastTradeDate': 1516395580, 'impliedVolatility': 0.20948056152343747, 'inTheMoney': False}"
